,name,申请材料,申请费,学费,住宿费,生活费,总费用,邮箱,地址,电话,招办网址,书本费
10,伦敦政治经济学院,1、本科成绩单：中英文对照+公证，截止当前的所有大学成绩单。2、语言成绩单。3、在读证明/毕业证明：中英文对照+公证。4、工作证明/实习证明（如有）：中英文对照+公证。5、荣誉证明（如有）：中英文对照+公证。6、护照扫描件。7、个人陈述：一般要求要求有1封个人陈述。8、推荐信：2封。9、个人简历：1封。10、研究计划：授课型项目不需要；研究型项目需要用以联系导师,75,19344,9000,,,https://lfylive.lse.ac.uk/lfy/tc/enquiries/enquiry.html?a=2&c=1,"Graduate Admissions, The London School of Economics and Political Science, PO Box 13420, Houghton Street, London, WC2A 2AR, United Kingdom.",+44 (0)20 7955 7160,http://www.lse.ac.uk/GraduateApplyOnline,
11,巴斯大学,1、本科成绩单：中英文对照+公证，截止当前的所有大学成绩单。2、语言成绩单。3、在读证明/毕业证明：中英文对照+公证。4、工作证明/实习证明（如有）：中英文对照+公证。5、荣誉证明（如有）：中英文对照+公证。6、护照扫描件。7、个人陈述：一般是1封。8、推荐信：1封。9、研究计划：授课型项目不需要；研究型项目需要用以联系导师,25,15000,3344,14000,35000,info@bath.ac.uk,University of Bath Claverton Down Bath BA2 7AY United Kingdom,+44 (0)1225 388388,http://www.bath.ac.uk/study/pg/apply/,1000
12,东英吉利大学,1、在读证明/毕业证明：中英文对照+公证。2、工作证明/实习证明（如有）：中英文对照+公证。3、荣誉证明（如有）：中英文对照+公证。4、本科成绩单：中英文对照+公证，截止当前的所有大学成绩单。5、语言成绩单。6、个人简历。7、个人陈述：研究型项目需要（约500字）。8、推荐信：授课型项目1封，研究型项目2封。9：研究计划：研究型项目需要用以联系导师。10：护照扫描件。11：资金证明,,13550,,9600,,intl.office@uea.ac.uk，admissions@uea.ac.uk,International Office University of East Anglia Norwich Research Park Norwich NR4 7TJ UK,+44 1603 593280，+44 (0)1603 591515,http://www.uea.ac.uk/study-with-us-restructured/postgraduate/apply/how-to-apply,
13,埃克塞特大学,"1、本科成绩单：中英文对照+公证，截止当前的所有大学成绩单。2、语言成绩单。3、推荐信：一般是2封。4、研究计划：授课型项目不需要；研究型项目需要用以联系导师，一般以1,000-2,000字为主。5、在读证明/毕业证明：中英文对照+公证。6、工作证明/实习证明（如有）：中英文对照+公证。7、荣誉证明（如有）：中英文对照+公证。8、护照扫描件。9、个人陈述",50,15950,5760,4750,26760,pg-ad@exeter.ac.uk，intoff@exeter.ac.uk,Postgraduate Admissions 8th Floor Laver Building North Park Road Exeter EX4 4QE UK,+44(0)1392 723044，+44 (0) 1392 723405,http://www.exeter.ac.uk/postgraduate/apply/apply/,300
14,伯明翰大学,"1、本科成绩单：中英文对照+公证。2、语言成绩单：MBA项目仅接受IELTS成绩单。3、在读证明/毕业证明：中英文对照+公证。4、工作证明/实习证明（如有）：中英文对照+公证。5、荣誉证明（如有）：中英文对照+公证。6、护照扫描件。7、个人陈述：5,000字。8、推荐信：1-2封。9、个人简历：一般不需要，MBA项目要求必须提供。10、研究计划：授课型项目不需要；研究型项目需要用以联系导师",,14140,,9000,,pgadmissions@contacts.bham.ac.uk，international@bham.ac.uk,"Postgraduate Admissions, The University of Birmingham, Edgbaston, Birmingham, B15 2TT , United Kingdom",+44 (0)121 414 5488，+44 (0)121 414 2894,http://www.birmingham.ac.uk/postgraduate/courses/apply-pg/index.aspx,
15,布里斯托大学,1、语言成绩单：主要指雅思成绩。。2、毕业证书，学位证书或中英文对照的学校在读证明。3、A-LEVEL或IB成绩。4、个人陈述。5、两封推荐信。6、在校期间所获得的奖励及相关资格证书。8、已经工作的申请人需要提交工作证明,,17200,,11000,28200,choose-bristol@bristol.ac.uk，international-office@bristol.ac.uk，choosebristol-pg@bristol.ac.uk,"International Office University of Bristol The Richmond Building 105 Queens Road Bristol BS8 1LN, United Kingdom",+44 (0)117 331 8591，+44 (0)117 331 8571，+44 (0)117 394 1649,http://www.bristol.ac.uk/study/postgraduate/apply/,
16,约克大学,1.本科毕业证书或在读证明。2.本科阶段学习成绩单。3.推荐信。4.英语成绩证明，如IELTS等；。5.个人陈述。6.个人简历,,10336,6000,1800,22038,,,+44 (0)1904 324000,http://www.ucas.ac.uk/students/apply/,
17,诺丁汉大学,,25,17470,,11000,,PG-Applications-Enquiries@nottingham.ac.uk,Postgraduate Admissions The University of Nottingham Gatehouse Lodge Wollaton Hall Drive Derby Road Nottingham NG8 1AF UK,+44 (0) 115 951 4749,http://www.nottingham.ac.uk/pgstudy/how-to-apply/apply-online.aspx,
18,萨里大学,1、在线申请表：在线填写。2、成绩单：复印件+扫描件。3、推荐信。4、推荐人具体信息。5、个人陈述。6、语言要求与标准化考试成绩。7、申请硕士所需材料。8、本科毕业证/学位证：复印件+扫描件,,13500,9000,,,admissions@surrey.ac.uk，international@surrey.ac.uk,"Postgraduate Admissions Office, Registry Student Centre, University of Surrey, Guildford, Surrey, GU2 7XH UK",+44 (0)1483 682222，+44 0800 980 3200，+44 (0)1483 689467,http://www.surrey.ac.uk/apply/postgraduate/how-to-apply,
19,格拉斯哥大学,1、申请费:多数英国大学都需要提交申请费。。2、语言成绩单：主要指雅思成绩。。3、毕业证书，学位证书或中英文对照的学校在读证明。。4、申请硕士课程，至少提交6个学期的学业成绩单，毕业后补交完整成绩单，已毕业的学生直接提交完整成绩单；申请本科课程，需要提交A-LEVEL或IB成绩；申请本科预科课程，需要提交高中前两年或高中全三年成绩单。。5、个人陈述。6、两封推荐信：有工作经验的学生，一封工作单位推荐信，一封学校老师推荐信；大四在读学生：两封老师推荐信。。7、申请人在校期间所获得的奖励及相关资格证书（省级以上奖励对申请才会有帮助，如：发表在省级刊物上文章，或省级以上社会活动的奖状等）。。8、已经工作的申请人需要提交工作证明。,,14500,6500,11000,,PGadmissions@glasgow.ac.uk,"International & Postgraduate Admissions, University of Glasgow, Fraser Building - Student Services, 65 Hillhead Street, Glasgow G12 8QF",+44 (0) 141 330 4515,http://www.gla.ac.uk/postgraduate/apply/,
20,谢菲尔德大学,1、本科成绩单：中英文对照+公证，截止当前的所有大学成绩单。2、语言成绩单。3、在读证明/毕业证明：中英文对照+公证。4、工作证明/实习证明（如有）：中英文对照+公证。5、荣誉证明（如有）：中英文对照+公证。6、护照扫描件。7、个人陈述：一般是1封，300字以内。8、推荐信：2封。9、个人简历：可选。10、研究计划：授课型项目不需要；研究型项目需要用以联系导师，一般要求500-1000字,,17600,5500,9000,,http://www.sheffield.ac.uk/ssid/international/email,"International Student Support University of Sheffield Level 6, Students' Union building Western Bank Sheffield S10 2TG UK",+44 0114 222 9679,http://www.sheffield.ac.uk/postgraduate/taught/apply/applying,
21,埃塞克斯大学,1、成绩单。2、推荐信。3、个人简历。4、语言要求与标准化考试成绩。5、本科毕业证/学位证,,,,,,enquiries@essex.ac.uk,,+44 (0) 1206 873333,,
22,邓迪大学,,,11500,9000,,,postgrad-admissions@dundee.ac.uk,Admissions and Student Recruitment University of Dundee Nethergate Dundee DD1 4HN,+44 (0)1382 38 38 38,http://www.dundee.ac.uk/study/pg/how-to-apply/,
23,爱丁堡大学,1、本科成绩单：中英文对照+公证，截止当前的所有大学成绩单。2、语言成绩单。3、在读证明/毕业证明：中英文对照+公证。4、工作证明/实习证明（如有）：中英文对照+公证。5、荣誉证明（如有）：中英文对照+公证。6、护照扫描件。7、个人陈述。8、推荐信：一般是2封。9、个人简历：一般不需要。10、研究计划：授课型项目不需要；研究型项目需要用以联系导师,50,10500,6230,5000,21730,sra.enquiries@ed.ac.uk，international.enquiries@ed.ac.uk,The International Office The University of Edinburgh 33 Buccleuch Place Edinburgh  EH8 9JS,+44 (0)131 650 4360,http://www.ed.ac.uk/studying/postgraduate/applying/application,
24,曼彻斯特大学,1、语言成绩单：主要指雅思成绩。。2、毕业证书，学位证书或中英文对照的学校在读证明。。3、至少提交6个学期的学业成绩单，毕业后补交完整成绩单，已毕业的学生直接提交完整成绩单。4、个人陈述。5、两封推荐信。6、在校期间所获得的奖励及相关资格证书。7、已经工作的申请人需要提交工作证明,,18500,6720,11000,,international@manchester.ac.uk，pg-admissions@manchester.ac.uk,"International Office / International Relations, Rutherford Building, The University of Manchester, Oxford Road, Manchester United Kingdom M13 9PL",+44 (0) 161 306 1634，+44 (0) 161 275 4740,http://www.manchester.ac.uk/study/masters/admissions/apply/,
25,纽卡斯尔大学,1、在线填写表。2、成绩单（复印件、公证件、英文版）。3、两封推荐信（至少一封学术推荐信）。4、财产证明、担保人担保书。5、个人陈述。6、本科毕业证、学位证（复印件、公证件、英文版）。7、雅思、托福成绩单。8、护照首页复印件,,14750,2899,9000,26649,international.office@ncl.ac.uk，http://www.ncl.ac.uk/enquiries/,International Recruitment Team Marketing and Student Recruitment Directorate Newcastle University  King's Gate  Newcastle upon Tyne NE1 7RU United Kingdom,+44 (0) 191 208 3333,http://www.ncl.ac.uk/postgraduate/apply/,
26,萨塞克斯大学,1、成绩单。2、推荐信。3、推荐人具体信息。4、个人陈述。5、语言要求与标准化考试成绩。6、研究计划：。7、本科毕业证/学位证。8、个人简历：说明部分专业要求申请人提交个人简历。,,14450,9000,,,pg.enquiries@sussex.ac.uk,"Postgraduate Admissions,  Sussex House,  University of Sussex, Falmer,  Brighton BN1 9RH, UK",+44 (0)1273 876787,http://www.sussex.ac.uk/study/apply/logintoaccount,
27,伦敦国王学院,1、语言成绩单：主要指雅思成绩。。2、毕业证书，学位证书或中英文对照的学校在读证明。3、至少提交6个学期的学业成绩单，毕业后补交完整成绩单，已毕业的学生直接提交完整成绩单。4、个人陈述。5、两封推荐信。6、在校期间所获得的奖励及相关资格证书。7、已经工作的申请人需要提交工作证明,30,17040,,11000,,prospective@kcl.ac.uk，china@kcl.ac.uk,King's College London Strand London WC2R 2LS United Kingdom,+44 (0)20 3660 2666，+44 (0)20 7848 3388,http://www.kcl.ac.uk/study/pg/admissions/TaughtProgrammes.aspx,
28,伦敦大学皇家霍洛威学院,1、在线申请表。2、成绩单：复印件。3、推荐信：1封。4、推荐人具体信。5、财产证明。6、动机信。7、语言要求与标准化考试成绩。8、按学校要求撰写的论文。9、本科在读学生需提交学科成绩单。10、本科毕业证/学位证复印件,,,,,,InternationalAdvice@royalholloway.ac.uk,"Student Recruitment & Partnerships Royal Holloway, University of London Egham Surrey TW20 0EX United Kingdom",+44 (0) 1784 414944,https://apply.embark.com/grad/royalholloway/96/,
29,南安普顿大学,,,12500,5600,,,international@southampton.ac.uk，admissions@soton.ac.uk,"SAA Registry Admissions  Room 2035, Building 37  University of Southampton  Highfield  Southampton  SO17 1BJ UK",+44 (0) 23 8059 2772，+44 (0)23 8059 4732,http://www.southampton.ac.uk/courses/how-to-apply/postgraduate-applications.page,
30,肯特大学,,,13500,7560,,,admissions@kent.ac.uk，information@kent.ac.uk,"Recruitment and Admissions Office The Registry,  University of Kent,  Canterbury, Kent CT2 7NZ",+44 (0) 1227 824123，+44 01227 827272,https://www.kent.ac.uk/courses/postgraduate/apply/index.html,
31,雷丁大学,1、本科成绩单：中英文对照+公证，截止当前的所有大学成绩单。2、语言成绩单。3、在读证明/毕业证明：中英文对照+公证。4、工作证明/实习证明（如有）：中英文对照+公证。5、荣誉证明（如有）：中英文对照+公证。6、护照扫描件。7、个人陈述。8、推荐信：2封，可以由推荐人Email给学校，必须使用学校域名（国内一般是edu.cn）的邮箱，不可使用类似Yahoo、Gmail等的个人邮箱,30,13838,11000,,,pgadmissions@reading.ac.uk，http://www.reading.ac.uk/15/Study/international/study-int-staff.aspx,"The University of Reading, Whiteknights, PO Box 217, READING, Berkshire, RG6 6AH, United Kingdom",+44 (0)118 378 6982，+44 (0) 118 378 5289,http://www.reading.ac.uk/apply/pg-applicationform.aspx,
32,哈珀亚当斯大学,1、本科成绩单：中英文对照+公证，截止当前的所有大学成绩单。2、语言成绩单。3、在读证明/毕业证明：中英文对照+公证。4、工作证明/实习证明（如有）：中英文对照+公证。5、荣誉证明（如有）：中英文对照+公证。6、护照扫描件。7、个人陈述。8、推荐信：2封，可以由推荐人Email给学校，必须使用学校域名（国内一般是edu.cn）的邮箱，不可使用类似Yahoo、Gmail等的个人邮箱,30,13838,11000,,,pgadmissions@reading.ac.uk，http://www.reading.ac.uk/15/Study/international/study-int-staff.aspx,"The University of Reading, Whiteknights, PO Box 217, READING, Berkshire, RG6 6AH, United Kingdom",+44 (0)118 378 6982，+44 (0) 118 378 5289,http://www.reading.ac.uk/apply/pg-applicationform.aspx,
33,莱斯特大学,1、本科成绩单：中英文对照+公证，截止当前的所有大学成绩单。2、语言成绩单。3、在读证明/毕业证明：中英文对照+公证。4、工作证明/实习证明（如有）：中英文对照+公证。5、荣誉证明（如有）：中英文对照+公证。6、护照扫描件。7、个人陈述。8、资金证明。9、推荐信：2封,,,,,,pgadmissions@le.ac.uk,Admissions Office University of Leicester University Road Leicester LE1 7RH UK,+44 (0)116 252 5381,https://le.ac.uk/student-life/how-to-apply/pg-making-application,
34,卡迪夫大学,1、UCAS在线申请表。2、成绩单（复印件、英文版）。3、推荐信：来自授课教师、指导教授；至少两封推荐信且至少一封学术。4、推荐人具体信息。5、个人陈述。6、语言要求与标准化考试成绩。7、本科毕业证/学位证（复印件、英文版）。材料提交方式：1、官网提交；2、电子邮件；3、邮寄至学校。其它说明：1、申请研究型硕士需提交研究计划。,12,16000,3473,9000,28473,international@cardiff.ac.uk，admissions@cardiff.ac.uk,"International Office Cardiff University  Deri House, 2-4 Park Grove  Cardiff CF10 3BN  Wales, UK",+44 (0)29 2087 4432，+44 (0)29 2087 9999,http://www.cardiff.ac.uk/study/postgraduate/applying/how-to-apply/online-application-service,
35,伦敦大学亚非学院,（1）UCAS在线申请表。（2）托福/雅思。（3）A-level或IB课程成绩等。（4）1篇Essay及1封推荐信。（5）大学毕业证/大学在读证明。（6）大学成绩单。（7）资金证明。注：伦敦大学亚非学院不要求学生参加面试。,12,13890,,9000,,mastersadmissions@soas.ac.uk,"Master's office,SOAS, Thornhaugh Street, Russell Square, London, WC1H 0XG, United Kingdom",+44 (0)20 7898 4320,http://www.soas.ac.uk/admissions/pg/howtoapply/,
36,斯旺西大学,,12,16500,,8000,,,,+44(0)1792 606000,,
37,贝尔法斯特女王大学,1、成绩单：复印件/公证件/扫描件/外文版英文。2、本科毕业证/学位证：复印件/公证件/扫描件/外文版英文。3、语言要求与标准化考试成绩。4、研究计划,,17600,11000,,,Postgrad.admissions@qub.ac.uk，intl.student@qub.ac.uk，international@qub.ac.uk,Admissions and Access Service Queen's University Belfast Belfast BT7 1NN,+44 (0)28 9097 5081，+44 (0) 28 9097 5088,http://www.qub.ac.uk/Study/PostgraduateStudy/Postgraduate-taught/How-to-apply/Apply-online/,
38,赫瑞瓦特大学,1、本科毕业证书或在读证明，原件或公证件（中英文版本）。2、本科阶段学习成绩单，原件或公证件（中英文版本）。3、推荐信。4、英语成绩证明，如IELTS，TOEFL等；。5、个人陈述。6、个人简历,,14800,5380,7000,,pgadmissions@hw.ac.uk，enquiry.int@hw.ac.uk,"Postgraduate Admissions, Heriot-Watt University, Edinburgh EH14 4AS, Scotland UK",+44 (0)131 451 3729，+44 (0) 131 451 3707,https://www.hw.ac.uk/study/apply/postgraduate.htm,
39,阿伯丁大学,1、在线申请表。2、成绩单（扫描件）。3、一封学术推荐信。4、个人陈述。5、雅思、托福成绩单。6、本科毕业证/学位证（扫描件）。材料提交方式：官网提交或邮寄至学校,,12600,7280,9000,29280,sras@abdn.ac.uk，study@abdn.ac.uk,"Postgraduate Admissions Student Recruitment & Admissions Service University of Aberdeen The Hub, Elphinstone Road King's College Aberdeen AB24 3TU UK",+44 (0)1224-272090/272091，+44 (0)1224-273506,https://www.abdn.ac.uk/study/postgraduate-taught/applying-for-a-postgraduate-programme-952.php,
40,思克莱德大学,1.本科毕业证书或在读证明。2.本科阶段学习成绩单。3.推荐信。4.英语成绩证明，如IELTS等；。5.个人陈述。6.个人简历,,12200,100,7500,27500,pgenquiries@strath.ac.uk，international@strath.ac.uk,"Recruitment and International Office Level 4, Graham Hills Building  50 George Street Glasgow G1 1XP UK",+44 (0)141 5482913，+44 (0) 141 548 3195,http://www.strath.ac.uk/studywithus/postgraduatetaught/howtoapply/,
41,利物浦大学,在线申请表	1、在线填写；2、本人签名确认。根据学科要求提交材料	1、作品集；2、表演音视频；学校要求其它材料根据学科要求提交论文等相关材料，。申请硕士所需材料	1、学习计划；2、研究计划；3、学术兴趣计划；4、按学校要求撰写的论文。材料提交方式	1、官网提交；2、电子邮件；3、邮寄至学校。推荐信	1、数量:2;；2、推荐信内容说明两封学术推荐信。。推荐人具体信息	需要。面试	1、视频；2、到校面试。本科毕业证/学位证	1、公证件；2、原件；外文版英文。成绩单	1、公证件；2、原件；外文版英文。个人陈述	需要。语言要求与标准化考试成绩	需要,,12200,6336,13500,,pgint@liv.ac.uk,Admissions Marketing and Communications The University of Liverpool Foundation Building Brownlow Hill Liverpool L69 7ZX United Kingdom,+44 (0)151 794 5927,https://www.liverpool.ac.uk/study/postgraduate/applying/online/,
42,伦敦大学玛丽女王学院,1、本科成绩单原件及复印件：中英文对照+公证。2、语言成绩单。3、在读证明/毕业证明：中英文对照+公证。4、工作证明/实习证明（如有）:中英文对照+公证。5、荣誉证明（如有）：中英文对照+公证。6、护照扫描件。7、个人陈述。8、推荐信：一般是2封。9、个人简历。10、研究计划：授课型项目不需要；研究型项目需要用以联系导师,,12000,6000,13000,30000,international-office@qmul.ac.uk，admissions@qmul.ac.uk,"Queen Mary, University of London, Mile End Road, London E1 4NS UK",+44 (0)20 7882 5511，+44 (0)20 7882 6530,http://www.qmul.ac.uk/international/international-students/howtoapply//index.html,1000
43,考文垂大学,1、在线申请表。2、成绩单。3、推荐信（学术和工作推荐信各一封）及推荐人具体信息。4、财产证明、担保人保证书。5、语言要求与标准化考试成绩。6、本科毕业证/学位证,12,11453,9000,,21876,http://public.dataharvesting.com/coventry-io-rapidresponse,"Recruitment and Admissions Office Alan Berry Building, Room ABG21 Coventry University Priory Street Coventry CV1 5FB, United Kingdom",+44 (0) 24 7765 4321，+44 (0) 24 7765 2152,http://www.coventry.ac.uk/international-students-hub/new-students/how-to-apply/,
44,西伦敦大学,,,9950,9200,,,int.app@uwl.ac.uk，international@uwl.ac.uk,International Office University of West London St Mary's Road Ealing London W5 5RF UK,+44 (0) 20 8231 2440,http://www.uwl.ac.uk/international/how-apply/how-apply,
45,斯特林大学,1、语言成绩单：主要指雅思成绩。。2、毕业证书，学位证书或中英文对照的学校在读证明。。3、至少提交6个学期的学业成绩单，毕业后补交完整成绩单，已毕业的学生直接提交完整成绩单。4、个人陈述。5、两封推荐信：有工作经验的学生，一封工作单位推荐信，一封学校老师推荐信；大四在读学生：两封老师推荐信。。6、在校期间所获得的奖励及相关资格证书。7、已经工作的申请人需要提交工作证明,,11275,,11000,,international@stir.ac.uk，admissions@stir.ac.uk,"International & Postgraduate Office, University of Stirling Stirling FK9 4LA Scotland UK",+ 44 (0) 1786 466681,https://portal.stir.ac.uk/student/course-application/get-course-block.jsp?dept=&type=&course=&moa=&mos=,
46,阿斯顿大学,"1、有效护照。2、护照照片3张(白底无边彩色照片,35*45cm)。3、签证费 (随汇率而变动)。4、填好的签证申请表。5、学习计划。6、填写完整的student questionnaire。7、全套录取通知书。8、资金担保相关材料(存折/存单、存款证明、资金来源等)。9、经济担保人年收入证明。10、本人的雇佣/准假证明。11、固定资产或其他财产证明。12、出生公证或户口本。13、英语成绩单(IELTS、TOEFL等)。14、学位证书，毕业证书，成绩单",,13500,,9000,,international@aston.ac.uk,"International Office , Aston University, Aston Triangle, Birmingham, B4 7ET UK",+44 121 204 4888,http://www.aston.ac.uk/study/postgraduate/apply/,
47,亚伯大学,1、在线申请表。2、成绩单。3、推荐信。4、推荐人具体信息。5、个人陈述。6、语言要求与标准化考试成绩。7、申请硕士所需材料。8、本科毕业证/学位证。9、个人简历,,10500,,9253,32000,,,44 (0)19 7062 3111,,
48,白金汉大学,,,13300,4800,8665,,international-office@buckingham.ac.uk，applications@buckingham.ac.uk,The International Office The University of Buckingham Hunter Street Buckingham MK18 1EG United Kingdom,+44 (0)1280 820155,http://www.buckingham.ac.uk/admissions/applyonline,
49,诺丁汉特伦特大学,1、在线申请表。2、成绩单。3、推荐信及推荐人具体信息。4、语言要求与标准化考试成绩。5、本科毕业证/学位证。6、学习经历说明,12,12300,6000,,21100,international@ntu.ac.uk,"Nottingham Trent University, Burton Street, Nottingham, NG1 4BU UK",+44 (0)115 848 8175,https://www.ntu.ac.uk/study-and-courses/international/how-to-apply/applying-to-ntu,1000
50,伯恩茅斯艺术大学,,,13995,8000,,24995,,,,,1000
51,利物浦霍普大学,,,13995,8000,,24995,,,,,1000
52,朴茨茅斯大学,,,10500,3560,,,international.office@port.ac.uk,"University of Portsmouth - International Office First Floor, Nuffield Centre St Michael's Road Portsmouth, PO1 2ED UK",+44 (0) 23 9284 3488,http://www.port.ac.uk/apply-online/,
53,林肯大学,,,13648,2500,,,,,,,
54,班戈大学,,,11000,4439,,,international@llandrillo.ac.uk,,+44 1492 542 315,http://www.llandrillo.ac.uk/international,
55,西英格兰大学,在。线。申。请,,11250,9000,,,admissions@uwe.ac.uk，international@uwe.ac.uk,"Admissions Office University of the West of England Frenchay Campus Bristol, BS16 1QY UK",+44 (0)117 32 83333,http://www1.uwe.ac.uk/whatcanistudy/applyingtouwe/postgraduateapplications/howtoapply.aspx,
