,note,name,score
27,"授课型项目：最低二类B等荣誉学位以上，对应国内学校均分为77%，或绩点2.9；部分项目要求二类A等荣誉学士学位以上，对应国内学校均分为82%，或绩点3.3；该均分要求实质还与申请者的国内学校质量（如是否985/211等）直接相关，具体需视学校的条件Offer定

研究型项目：最低二类A等荣誉学士学位以上，对应国内学校均分为82%，或绩点3.3；该均分要求实质还与申请者的国内学校质量（如是否985/211等）直接相关，具体需视学校的条件Offer定",华威大学,
28,"总分：92
阅读：21
写作：22
听力：21
口语：23",利兹大学,
29,"总分：6.5
阅读：6.0
写作：6.0
听力：6.0
口语：6.0",利兹大学,
30,"总分：107
阅读：22
写作：21
听力：22
口语：20",伦敦政治经济学院,
31,"总分：7.0
阅读：6.5
写作：6.0
听力：6.5
口语：6.0",伦敦政治经济学院,
32,部分项目需要,伦敦政治经济学院,
33,"中国排名前30的大学：85
中国排名在30名以后的大学：90",伦敦政治经济学院,
34,"总分：92
阅读：22
写作：21
听力：21
口语：23",巴斯大学,
35,"总分：6.5
阅读：6.0
写作：6.0
听力：6.0
口语：6.0",巴斯大学,
36,GRE/GMAT：仅极少数项目需要（如MBA等）,巴斯大学,
37,,巴斯大学,3.4
38,88分（R:20;W:19;L:19;S:21）,东英吉利大学,
39,"总分：6.5
单项：均不低于6.0
部分项目语言要求较高",东英吉利大学,
40,不需要,东英吉利大学,
41,,埃克塞特大学,90
42,,埃克塞特大学,6.5
43,不需要,埃克塞特大学,
44,,埃克塞特大学,3.0
45,"总分：87
阅读：22
写作：21
听力：21
口语：23",伯明翰大学,
46,"总分：6.0
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",伯明翰大学,
47,无需提供,伯明翰大学,
48,"一类大学本科：80
 二、三类大学本科：85",伯明翰大学,
49,,布里斯托大学,100
50,,布里斯托大学,7.0
51,,布里斯托大学,3
52,,约克大学,79
53,,约克大学,6.0
54,总分：87；阅读：22；写作：21；听力：21；口语：23,诺丁汉大学,
55,总分：6.0；阅读：5.5；写作：5.5；听力：5.5；口语：5.5,诺丁汉大学,
56,四分制  3.0  国内大学平均分达到3.0-3.6分3.0,诺丁汉大学,
57,,萨里大学,80
58,"总分：6.5
阅读：6.0
写作：6.0
听力：6.0
口语：6.0",萨里大学,
59,,萨里大学,70
60,,格拉斯哥大学,92
61,,格拉斯哥大学,6.5
62,,格拉斯哥大学,3.2
63,"总分：80
阅读：18
写作：17
听力：17
口语：20",谢菲尔德大学,
64,"总分：6.0
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",谢菲尔德大学,
65,无需提供,谢菲尔德大学,
66,,谢菲尔德大学,2.5
67,,埃塞克斯大学,76
68,,埃塞克斯大学,6.0
69,,邓迪大学,92
70,"总分：6.5
阅读：5.5
写作：6.0
听力：5.5
口语：6.0",邓迪大学,
71,"四分制 ： 2.9  
百分制  ：77",邓迪大学,
72,,爱丁堡大学,100
73,"总分7.0
单科不低于6.0",爱丁堡大学,
74,,爱丁堡大学,3
75,,曼彻斯特大学,90
76,6.0–7.0,曼彻斯特大学,
77,GRE/GMAT：仅极少数项目需要（如MBA等）,曼彻斯特大学,
78,,曼彻斯特大学,3
79,,纽卡斯尔大学,90
80,,纽卡斯尔大学,6.5
81,"211类本科一年级平均分达到70%以上
非211类本科一年级平均分达到75%以上",纽卡斯尔大学,
82,"总分：88
阅读：20
写作：24
听力：20
口语：22",萨塞克斯大学,
83,"总分：6.5
阅读：6.0
写作：6.5
听力：6.0
口语：6.0",萨塞克斯大学,
84,,萨塞克斯大学,65
85,,伦敦国王学院,100
86,,伦敦国王学院,7.0
87,,伦敦国王学院,3.25
88,"总分：92
阅读：22
写作：26
听力：21
口语：21",伦敦大学皇家霍洛威学院,
89,"总分：6.5
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",伦敦大学皇家霍洛威学院,
90,"百分制：70  
四分制：2.8",伦敦大学皇家霍洛威学院,
91,,南安普顿大学,6.5
92,,肯特大学,6.5
93,,哈珀亚当斯大学,88
94,,哈珀亚当斯大学,6.5
95,未做要求,哈珀亚当斯大学,
96,3.0分,哈珀亚当斯大学,
97,,哈珀亚当斯大学,88
98,,哈珀亚当斯大学,6.5
99,未做要求,哈珀亚当斯大学,
100,3.0分,哈珀亚当斯大学,
101,不需要,莱斯特大学,
102,"排名前200学校：75
 排名在200以后的学校：85",莱斯特大学,
103,,卡迪夫大学,90
104,,卡迪夫大学,6.5
105,本科阶段平均成绩80以上,卡迪夫大学,
106,"105	
阅读：25
写作：25
听力：25
口语：25",伦敦大学亚非学院,
107,"7.0	
阅读：7.0
写作：7.0
听力：7.0
口语：7.0",伦敦大学亚非学院,
108,"80-85/100（中国）
3.3-3.5/4（美国）",伦敦大学亚非学院,
109,,斯旺西大学,90
110,,斯旺西大学,6.5
111,"总分：80
阅读：18
写作：17
听力：17
口语：20",贝尔法斯特女王大学,
112,"总分：6.0
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",贝尔法斯特女王大学,
113,,贝尔法斯特女王大学,2.5
114,"总分：89
听力：19
口语：22
阅读写作：20",赫瑞瓦特大学,
115,,赫瑞瓦特大学,6.5
116,"总分：90
阅读：21
写作：21
听力：17
口语：20",阿伯丁大学,
117,"总分：6.5
阅读：6.0
写作：6.0
听力：5.5
口语：5.5",阿伯丁大学,
118,,思克莱德大学,90
119,,思克莱德大学,6.5
120,,思克莱德大学,80
121,88；阅读：22；写作：21；听力：21；口语：23,利物浦大学,
122,6.5；阅读：5.5；写作：5.5；听力：5.5；口语：5.5,利物浦大学,
123,,利物浦大学,2.8
124,,伦敦大学玛丽女王学院,100
125,,伦敦大学玛丽女王学院,7.0
126,不需要,伦敦大学玛丽女王学院,
127,,考文垂大学,88
128,,考文垂大学,6.5
129,,西伦敦大学,6.5
130,,斯特林大学,90
131,"总分：6.0
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",斯特林大学,
132,,斯特林大学,3.0
133,"93	
阅读：18
写作：23
听力：19
口语：19",阿斯顿大学,
134,"6.5	
阅读：6.0
写作：6.0
听力：6.0
口语：6.0",阿斯顿大学,
135,"总分：6.5	
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",亚伯大学,
136,,白金汉大学,6.0
137,"综合：83
听力：17
阅读：18
口语：20
写作：17",诺丁汉特伦特大学,
138,,诺丁汉特伦特大学,6.5
139,6.5-7,利物浦霍普大学,
140,6.5-7,利物浦霍普大学,
141,,林肯大学,6.5
142,"总分：90
阅读：18
写作：17
听力：17
口语：20",西英格兰大学,
143,"总分：6.5
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",西英格兰大学,
144,,西英格兰大学,70
145,,创意艺术大学,6.0
146,"总分：79
阅读：18
写作：17
听力：17
口语：20",诺里奇艺术大学,
147,"总分：6.0
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",诺里奇艺术大学,
148,,诺里奇艺术大学,75
149,"总分：79
阅读：18
写作：17
听力：17
口语：20",诺里奇艺术大学,
150,"总分：6.0
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",诺里奇艺术大学,
151,,诺里奇艺术大学,75
152,,艾芝西尔大学,6.0
153,"总分：92；
阅读：23；
写作：23；
听力：17；
口语：17",伦敦大学金史密斯学院,
154,"总分：6.5；
阅读：6.0；
写作：6.5；
听力：6.0；
口语：6.0",伦敦大学金史密斯学院,
155,,斯塔福德郡大学,6.0
156,"87	
阅读：22
写作：21
听力：21
口语：23",哈德斯菲尔德大学,
157,"6.0	
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",哈德斯菲尔德大学,
158,,诺森比亚大学,89
159,,诺森比亚大学,6.5
160,"总分：6.0	
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",法尔茅斯大学,
161,,法尔茅斯大学,75
162,"总分：6.0	
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",法尔茅斯大学,
163,,法尔茅斯大学,75
164,"总分：6.0	
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",法尔茅斯大学,
165,,法尔茅斯大学,75
166,,利物浦约翰摩尔斯大学,92
167,,利物浦约翰摩尔斯大学,6.5
168,仅极少数项目需要（如MBA等）,利物浦约翰摩尔斯大学,
169,,利物浦约翰摩尔斯大学,3.2
170,6-6.5,谢菲尔德哈莱姆大学,
171,,阿尔斯特大学,6.0
172,,阿尔斯特大学,3.0
173,600（机试250）,罗汉普顿大学,
174,,罗汉普顿大学,6.0
175,"综合：80
阅读：18
写作：17
听力：17
口语：20",布拉德福德大学,
176,"综合：6.0
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",布拉德福德大学,
177,本科平均分达到70-80%,布拉德福德大学,
178,,伦敦城市大学,100
179,"6.5
商学、新闻、法律专业要求雅思7.0分。",伦敦城市大学,
180,,赫尔大学,79
181,,赫尔大学,6.0
182,"总分：90
阅读：18
写作：21
听力：17
口语：20",圣乔治医学院,
183,"总分：6.5
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",圣乔治医学院,
184,,伯恩茅斯大学,80
185,,伯恩茅斯大学,6.0
186,,曼彻斯特城市大学,90
187,,曼彻斯特城市大学,6.5
188,,曼彻斯特城市大学,75
189,"传统托福(PBT)：575
托福网考(IBT)：89",德比大学,
190,,德比大学,6.5
191,"总分:90
单科:22",罗伯特高登大学,
192,"研究型硕士：总分6.5，单项:6.5
授课式硕士：总分6.5，单项:5.5",罗伯特高登大学,
193,,罗伯特高登大学,70.0
194,,格罗斯特大学,6.5
195,,牛津布鲁克斯大学,78
196,,牛津布鲁克斯大学,6.0
197,"总分：90
阅读：18
写作：21
听力：17
口语：20",普利茅斯大学,
198,"总分：6.5
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",普利茅斯大学,
199,,索尔福德大学,76
200,"6.5
各部分最低分5.0",索尔福德大学,
201,,赫特福德大学,80
202,,赫特福德大学,6.5
203,,卡迪夫城市大学,6.5
204,,中央兰开夏大学,90
205,,中央兰开夏大学,6.5
206,,格罗斯泰斯特主教大学,6.5
207,,格罗斯泰斯特主教大学,6.5
208,"传统托福(PBT)：550
托福机考(CBT)：213
托福网考(IBT)：79",桑德兰大学,
209,,桑德兰大学,6.0
210,,索伦特大学,6.0
211,,索伦特大学,6.0
212,,伍斯特大学,6.0
213,,威尔士三一圣大卫大学,4.5
214,,伯明翰城市大学,6.5
215,"总分：6.5
单项：5.5",伦敦南岸大学,
216,"英国2.2学位的硕士课程：
211、985类大学GPA 2.0/4，
其他大学GPA 2.3/4
英国2.1学位的硕士课程：
211、985类大学GPA 2.3/4
其他大学GPA 2.7/4",威斯敏斯特大学,
217,,贝德福德大学,6.5
218,,格林威治大学,80
219,,格林威治大学,6.5
220,,坎特伯雷大学,90
221,,坎特伯雷大学,6.5
222,,布莱顿大学,90
223,"总分：6.5；
阅读：无；
写作：6.0；
听力：无；
口语：无",布莱顿大学,
224,,东伦敦大学,90
225,,东伦敦大学,6.0
226,6.5-7.0,伦敦艺术大学,
227,,金斯顿大学,88
228,,金斯顿大学,6.5
229,"总分：90
阅读：18
写作：21
听力：17
口语：20",普利茅斯大学,
230,"总分：6.5
阅读：5.5
写作：5.5
听力：5.5
口语：5.5",普利茅斯大学,
231,"传统托福(PBT)：575
托福网考(IBT)：90",南威尔士大学,
232,,南威尔士大学,6.5
233,"总分：6.5	
阅读：6.0
写作：6.0
听力：6.0
口语：6.0",利兹贝克特大学,
234,,利兹贝克特大学,75
235,"总分：6.5	
阅读：6.0
写作：6.0
听力：6.0
口语：6.0",利兹贝克特大学,
236,,利兹贝克特大学,75
237,,波尔顿大学,6.5
238,,新白金汉大学,6.5
239,,格林多大学,4.5
240,,伦敦都市大学,100
241,,伦敦都市大学,6.5
242,,密德萨斯大学,72
243,,密德萨斯大学,6.0
