aid,sub,本科学校档次,本科专业,本科成绩和算法、排名,其他说明,研究生专业,研究生成绩和算法、排名,研究生学校档次,IELTS_Overall,IELTS_R,IELTS_L,IELTS_S,IELTS_W,TOEFL_Overall,TOEFL_R,TOEFL_L,TOEFL_S,TOEFL_W,GRE_Overall,GRE_V,GRE_Q,GRE_AW,GMAT_Overall,GMAT_Q,GMAT_V,LSAT
1825692,,211,法学,百分制均分90 GPA3.95,两次 交换 经历 台湾 科技 大学 和 马来亚 大学 各半 学期 金杜 海淀法院 北京 证券公司 实习 参与 中国政法大学 博导 研究 项目 没考 司考 最终 决定 去 港 大 给 了 一个 条件 说 毕业 保持 下去 而且 顺利 毕业 我 觉得 应该 没 问题 吧 还 申 了 墨尔本大学 可 还 没 消息 果断 放弃,,,,,,,,,103,29,27,23,25,,,,,,,,
1825739,,211,景观建筑设计,76,工作 五年 作品集 是 四个 工作 项目 和 一个 学校 作业,,,,6.5,7.5,6.5,6,6,,,,,,,,,,,,,
1825873,,211,法学,百分制均分90 GPA3.95,两次 交换 经历 台湾 科技 大学 和 马来亚 大学 各半 学期 金杜 海淀法院 北京 证券公司 实习 参与 中国政法大学 博导 研究 项目 没考 司考 最终 决定 去 港 大 给 了 一个 条件 说 毕业 保持 下去 而且 顺利 毕业 我 觉得 应该 没 问题 吧 还 申 了 墨尔本大学 可 还 没 消息 果断 放弃,,,,,,,,,103,29,27,23,25,,,,,,,,
1827495,,双非,电气工程及其自动化,78.1/100,,,,,,,,,,103,29,29,22,23,316,154,162,3.0,,,,
1829795,,,海洋技术,3.6/4.0,一些 校奖 一个 大学生 创新 创业项目 一篇 水 论文 一点 实习 经历 无 工作 经验 无牛 推,,,,,,,,,99,29,26,20,24,,,,,,,,
1830383,,双非,海洋技术,3.6/4.0,一些 校奖 一个 大学生 创新 创业项目 一篇 水 论文 一点 实习 经历 无 工作 经验 无牛 推,,,,,,,,,99,29,26,20,24,,,,,,,,
1830461,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,90,25,22,22,21,,,,,,,,
1833588,,双非,市场营销,3.43/4.0,,,,,7,8,7.5,6,6.5,,,,,,,,,,,,,
1836217,,211 & 985,chemical technology,3.6/4.0,无 论文 有 的 工作 经验 不是 专业 有关 的,,,,7.0,6.0,7.0,8.0,6.0,,,,,,,,,,,,,
1841008,,双非,软件工程,3.1 21,,,,,6.5,7.5,7,5.5,6,,,,,,,,,,,,,
1853412,,211,会计,85/100,,,4+/5,Nanyang Technological University,7,8,7.5,6,6,,,,,,,,,,,,,
1862854,,厦门大学,软件工程,3.62,,,,,,,,,,104,30,22,23,29,320,150,170,3.0,,,,
1864249,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,计算机科学与技术,3.0,,,,,,,,,,96,25,24,22,25,313,149,164,3,,,,
1865805,,双非,管理,87.33/100,有 一年 实习 经历     各种 校级 奖     无牛 推,,,,7,7,6.5,7,6.5,,,,,,,,,,,,,
1870462,,非211/985,英语,87/100,本科 校 三好学生 校 优秀 毕业生 多次 获得 一等 奖学金 国家级 竞赛奖 三项 有 丰富 口译 教学 经验 发表 论文 篇,英语语言文学,83/100,复旦/浙大/南大/交大/南开/武大/川大,7.5,7.5,8,7,7,,,,,,,,,,,,,
1873362,,双非,制药工程,3.0/4,水水 的 跨校 二专 一篇 作 一篇 作 国内 水 论文 校奖 若干 国内 制药 企业 研究院 实习 三甲 医院 水 实习,,,,6.5,7,8,5,5.5,,,,,,,,,,,,,
1873857,,,化学工程与工艺,84,,Chemical Engineering,85,,,,,,,,,,,,,,,,,,,
1875234,,211 & 985,船舶于海洋工程,90.2  4/129,国内 只是 平均分 较 高且 有 半年 荷兰 经历 科研 并 无 很多,,,,7,8,8,6,6,97,26,24,22,25,,,,,,,,
1878553,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,电子信息工程,78.75/100      3.31/4.0,本科 两段 水 的 相关 经历 跟着 老师 发表 了 两篇 水 论文,,,,,,,,,90,23,24,18,25,316,149,167,3,,,,
1878556,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,电子信息工程,78.75/100,,,,,,,,,,90,23,24,18,25,316,149,167,3,,,,
1879821,,211,汉语言,10%,,,,,,,,,,101,26,24,22,29,,,,,,,,
1877742,,211 & 985,汉语言文学,87.5,,Chinese Studies,5.0/5.0,,,,,,,,,,,,,,,,,,,
1880606,,双非,油气储运工程,3.47/4.0,有 三篇 论文   不过 申请 时候 只 写 了 俩     因为 最后 一篇 还 没 下来     项目 倒 是 有 几个     参加 了 四个 吧 西澳 大学 五天 就 给 了         也 只用 了 天   真是 超快,,,,6.5,6.5,7,6.5,6,,,,,,,,,,,,,
1881785,,同济大学,法学,88.97/100; 9/64,年 毕业 公司 法务 年 无 论文 发表 和 其他 校内 出彩 活动,,,,,,,,,102,28,27,23,24,,,,,,,,
1880085,,Saint Louis University,B.B.A. (Finance),3.60/4.00 (Upper Division GPA),                       ,MSc.Finance,4.00/4.00 (Distinction),Lancaster University,,,,,,,,,,,325,158,167,4.5,,,,
1882752,,,Finance,87,个 工作 个 奖个 研究 无 发表 个 校园 活动 楼主 成绩单 比较 奇葩 前 年均 分后 年 左右,,,,7,8,7,6,6.5,,,,,,,,,,,,,
1882600,,,Finance,87,,,,,7,8,7,6,6.5,,,,,,,,,,,,,
1882965,,211 & 985,国贸,,,,,,7,7,7,6,7,,,,,,,,,,,,,
1883584,,211 & 985,飞行器设计与工程,87.1 3/24,篇 一作 一篇 作篇 课题组 老师 一作 国奖 以及 学校 若干 小 奖,航天工程,85.1 1/103,211 & 985,,,,,,,,,,,,,,,,,,
1883334,,211,Information and Computing Science,86.7,有 两个 短期 实习 拿过 两次 校级 奖学金,,,,,,,,,,,,,,,,,,,,,
1883954,,,Finance,87,,,,,7,8,7,6,6.5,,,,,,,,,,,,,
1883094,,211 & 985,化学,89/100,,化学,84/100,清华/北大/中科大,6.5,7,7,6,6,,,,,,,,,,,,,
1883045,,211 & 985,生物医学工程,,,,,,7,8,7.5,6,6,,,,,,,,,,,,,
1884051,,,飞行器设计,专业课20/280,和 师兄 水 了 一篇 三作 科研活动 什么 倒 是 参加 了 不少 大四 上 多伦多 交换,,,,,,,,,110,29,30,24,27,,,,,,,,
1884855,,211 & 985,物理,80/100,虽然 是 但是 也 需要 套磁 联系 导师 了 的 平均分,,,,7,9,6.5,6,6,,,,,,,,,,,,,
1883908,,双非,金融&法语,金融3.76/4.0 法语3.95/4.0,无牛 推 无 论文 无 交换 国内 国际 志愿者 香港 外汇 法国 商学院 全国 网络 商务 大赛 二奖 各种 水水 的 奖学金 和 优秀干部 实习 国有 商业银行 全职 工作,,,,7.0,8.5,7.0,7.0,6.0,,,,,,315,149,166,3.0,,,,
1883971,,,,,,,,,,,,,,,,,,,,,,,,,,
1884973,,双非,计算机科学与技术,3.17,年 工作 一等 二等 奖学金 各 一次,,,,7,6.5,8,6.5,6,,,,,,,,,,,,,
1884856,,双非,汉语言文学,3.55,,,,,,,,,,107,28,28,23,28,320,152,168,3.0,,,,
1885503,,双非,计算机科学与技术,"GPA 3.42, 算术平均分85.2",一次 国家 奖学金 一次 国家 励志 奖学金 一个 省 优秀学生 干部 院 学生会 主席 几个 学科 竞赛 的 国家级 奖项 就 酱,,,,6.5,7.0,6.0,6.5,6.0,,,,,,,,,,,,,
1886577,,双非,城市规划,3.7/5.0，87/100，排名1/26,论文 篇 均 未 发表 教授 看中 其中 篇 推荐人 本科毕业 设计 指导老师 + 专业 院校 教授 获奖 多次 奖学金 和 课外活动 的 荣誉 但 都 没有 上 到 国家级 的 专业 上 有些 小 的 国奖 和 大 的 校奖 英语 渣 本科 院校 很 一般 之所以 拿到 这个 主因 应该 是 本科 时候 的 课外 研究 经历 恰好 和 申请 的 导师 的 当下 的 研究 兴趣 十分 吻合 所以 真的 很 幸运,,,,6.0,6.5,6.0,5.5,5.0,,,,,,,,,,,,,
1886219,,211,制药工程,85,,,,,7,8,8,6,6,,,,,,,,,,,,,
1886614,,双非,化学,80,,,,,,,,,,82,24,18,20,20,311,143,168,3,,,,
1885207,,211 & 985,法学,88.97/100; 9/64,年 毕业 公司 法务 年 无 论文 发表 和 其他 校内 出彩 活动,,,,,,,,,102,28,27,23,24,,,,,,,,
1886711,,,金融数学,76.56/100,,,,,6.5,7.5,6,6,5.5,,,,,,,,,,,,,
1887509,,211 & 985,电气工程,3.67/4.00,本科毕业 后 本校 研究生 在读 一篇 中文 一篇 会议 两个 本 学院 副教授 的 推荐信 无 参加 的 代替 考试 获奖 全是 本科 的 国 奖励 志 和 几个 公司 的 奖学金,,,211 & 985,,,,,,100,27,27,20,26,,,,,,,,
1887496,,双非,对外汉语,GPA3.71（WES）,,,,,,,,,,94,23,27,22,22,,,,,,,,
1886819,,211 & 985,生物医学工程,,,,,,7,8,7.5,6,6,,,,,,,,,,,,,
1888116,,211,,3.52,,,3.62,,,,,,,,,,,,,,,,,,,
1887821,,双非,Biotechnology,,一个 助研 一个 全国性 奖项,International Relations,,985&211,,,,,,,,,,,,,,,,,,
1888189,,211 & 985,光信息科学与技术,3.4/4.0,,,,,,,,,,,,,,,,,,,,,,
1888117,,211,计算机科学与技术,84.8,,,,,,,,,,,,,,,,,,,,,,
1886771,,,地理信息系统,3.21/4分制,科研项目 多 论文 篇 审核 中 总成绩 中等 偏下 英语 渣 学校 专业 排名 高好 后悔 把 大学 糊弄 过去 了 口,,,,6,7,6.5,5.5,5.5,,,,,,,,,,,,,
1888203,,双非,环境艺术设计,78/100,,风景园林,79/100,双非,6,6.5,6,5.5,6,,,,,,,,,,,,,
1888190,,双非,国际法,2.87/5,法院 律所 短期 实习 经历   经过 法学院 老师 面试,,,,6.5,7.5,7.5,6,5.5,,,,,,,,,,,,,
1888450,,211,英语,3.7/4.0 排名：10/120,申请 时 咨询 了 中大 的 小秘 说 是 中英文 的 申请材料 都 可以 于是 本人 的 以及 推荐信 真的 是 全中文 并 没有 要求 其他 社会活动 参与 证明 不过 我 把 自己 的 国奖 证书 以及 模联 大会 参会 证明 等 复印件 一起 递 了 过去,,,,7,7.5,8.5,6,6.5,,,,,,,,,,,,,
1888287,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,统计学,88.25/100,世界 强 实习   个 月 国内 券商 资管 部门 实习   个 月 国家 奖学金 数学 建模 国 二 若干 小奖 无 交流 无,计量经济学,3.68/4,211,7.5,8,7.5,7,6.5,,,,,,,,,,,,,
1888550,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,法学,3.5+/4.0,学校 小奖次 外 所 区法院 实习 交流 一 学期,,,,,,,,,115,30,29,28,28,,,,,,,,
1888853,,211,电子商务,3.14,有 实习 有 比赛 但是 逼格 不太高 申请 的 时候 也 统统 都 没 提交,,,,6.5,7.5,5.5,6,6,,,,,,,,,,,,,
1888919,,山东大学,应用化学,GPA太低，80左右，排名30%吧,无 奖学金 一些 校内 小 奖 两段 科研 经历,,,,6,6.5,5.5,6.5,5.5,,,,,,,,,,,,,
1889109,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,医学,3.9/4,,,,,,,,,,,,,,,326,158,168,3.5,,,,
1889172,,华中师范大学,汉语言文学,86,发表 过 三篇 论文 和 一些 新闻 两个 水 实习 拿过 奖学金 拿过 科研 校级 奖 和 其他 一些 乱七八糟 小 奖,,,,,,,,,,,,,,,,,,,,,
1889125,,,,,,,,,,,,,,,,,,,,,,,,,,
1888630,,211 & 985,法学,88.97/100; 9/64,年 毕业 公司 法务 年 无 论文 发表 和 其他 校内 出彩 活动,,,,,,,,,102,28,27,23,24,,,,,,,,
1888596,,,法学,3.7,推荐信 是 学校 老师 的 楼主 独特 的 地方 是 自己 的 创业 经历 实习 没有 出彩 的 地方 都 是 小 所 等,,,,,,,,,,,,,,,,,,,,,
1889229,,211,会计,86+,,,,,6.5,7.5,6,5.5,6,,,,,,,,,,700,51,32,
1889015,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,电子工程,3.5,,,,,,,,,,,,,,,,,,,,,,
1889471,,,,,,,,,,,,,,80,26,15,18,21,,,,,,,,
1889512,,北京师范大学珠海分校,物流管理（采购与供应链方向）,88/100   3/129,,,,,6,7,6,5.5,6,,,,,,,,,,,,,
1889504,,211,计算机科学与技术,3.52（WES），84.82（加权）,国内 期刊论文 一篇 无 竞赛 本校 教授 推荐信,,,,,,,,,108,28,29,22,29,325,158,167,3.5,,,,
1889246,,211 & 985,建筑环境与设备工程,3.07,有 奖学金 社团活动 学术 实习 等 经历   但是 申请 澳洲 的 时候 都 没 提交   或者说 不 需要 提交,,,,,,,,,,,,,,,,,,,,,
1889589,,211,计算机科学与技术,3.52（WES），84.82（加权）,国内 期刊论文 一篇 无 竞赛 本校 教授 推荐信,,,,,,,,,108,28,29,22,29,325,158,167,3.5,,,,
1889591,,双非,环境艺术设计,78/100,国内 读 了 环艺 的 本 景观 的 硕 本科 双非 均分 挂科门 硕士 老八校 均分 一封 本科 班主任 推荐信 一封 实习 单位 领导 推荐信 雅思 分 还要 继续 考,风景园林,79/100,双非,6,6.5,6,5.5,6,,,,,,,,,,,,,
1889771,,211 & 985,测控技术与仪器,85.12,校内 小 奖     两个 实习,,,,6.5,7.5,7,5.5,6,,,,,,320,152,168,3.5,,,,
1890091,,双非,英语专业,,,教育学,,,,,,,,,,,,,,,,,,,,
1890085,,,,,,,,,,,,,,,,,,,,,,,,,,
1890126,,University of Toronto,Double Major Economics and Statistics,,,,,,6.5,6,6.5,7,6,,,,,,,,,,,,,
1890472,,211,机械工程,3.01,社会活动 一大堆 然而 研究 方面 一点 没有,,,,6.5,8,5.5,6,5.5,,,,,,,,,,,,,
1890237,,211,生物工程,排名60%,成绩 很差 不到 科研 的话 有过 的 科研 实习 在 那里 挂 了 一篇 期刊 的 论文 然后 在 国内 某大学 做过 在 那里 发了 一篇 + 的 一作 小文 还有 一篇 一作 在 写 着,,,,,,,,,,,,,,,,,,,,,
1890557,,211 & 985,食品科学与工程,86.7/100,水 实习 水 科研项目 几个 奖项 推荐信 一 学院 老师 一 外企 高层 本科 奖学金 算拿得 较 多 全部 奖 优类 大部分 为 企业 奖学金 总计 万左右 汇率问题 数字 不 确定 其中 只靠 学习成绩 拿到 算是 综合 水平 还 可以,,,,6.5,8.0,6.5,6.5,5.5,,,,,,,,,,,,,
1890815,,湖南大学,,倒数吧，至少后20%,我 觉得 这个   看重 更 多 的 是 工作 经验 我 在 新加坡 相关 行业 工作 四年 虽然 很水 因为 我 大学 成绩 太 差 专业 倒数 的 样子 挂科 重修 啥 的 以前 也 没想 继续 读书人 的 想法 是 会 改变 的 祝 各位 也 好运,,,,6,6.5,6,5,5,,,,,,,,,,,,,
1890571,,,法学,3.72/4.0,拿 了 几个 奖学金 在律 所 做 过 一个 实习 去 欧洲 交换 过 一年,,,,7.0,7.0,7.5,6.0,7.0,,,,,,,,,,,,,
1890648,,211 & 985,,83,,,,,,,,,,,,,,,,,,,,,,
1890915,,211,法学,88,,,,,,,,,,,,,,,,,,,,,,
1890944,,英国莱斯特大学,Business Economics,second class degree,,,,,,,,,,,,,,,,,,,,,,
1890912,,UESTC,EE,3.77,   ,,,,,,,,,93,28,22,19,24,323,155,168,3,,,,
1891028,,双非,电子信息工程,3.2/4,学校 四次 三等 奖学金 六个月 实习 经历,,,,6,7,6,5.5,5,,,,,,,,,,,,,
1890499,,双非,电气工程及其自动化,84.7/100  3.01/4  58/493,年 年 二等 奖学金 管理 类 双学位 课外活动 较 多 无 论文 无 实习,,,,6,6,6.5,5.5,5.5,,,,,,,,,,,,,
1890971,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,,,,,,,,,,,,,,,,,,,
1890943,,,,,,,,,,,,,,,,,,,,,,,,,,
1891044,,华南农业大学,经济,87/100,,,,,6.5,7,7,5.5,5.5,,,,,,,,,,,,,
1891122,,,Electrical and Electronic Engineering,3.8/4,,,,,,,,,,,,,,,315,148,167,3.0,,,,
1891043,,华南农业大学,经济,87/100,,,,,6.5,7,7,5.5,5.5,,,,,,,,,,,,,
1891082,,211,精细化工,3.07,,,,,,,,,,88,21,24,22,21,306,144,162,3,,,,
1891444,,211,矿物,5%,,环境工程,15%,,6.5,6.5,6.5,6,6,,,,,,,,,,,,,
1891259,,211 & 985,电气工程及其自动化,3.21/4,奖学金 四次 三个 水水 的 专利,,,,6.5,6.5,7.5,5.5,5.5,,,,,,,,,,,,,
1891131,,211,Information and Computing Science,86.7,有 两个 短期 实习 拿过 两次 校级 奖学金,,,,,,,,,,,,,,,,,,,,,
1891586,,双非,计算机科学与技术,3.2,,,,,6,6,6,6,6.5,,,,,,,,,,,,,
1891578,,,Finance,87,个水 实习 个校 奖个 校园 活动,,,,7,8,7,6,6.5,,,,,,,,,,,,,
1891289,,双非,software engineering,3.67/5,校等 奖学金 校三好 一篇 论文 两个 实习,,,,,,,,,,,,,,,,,,,,,
1891657,,中国青年政治学院,社会工作,3.04/4  82.33/100,,,,,7.0,7.5,7.5,6.0,6.0,,,,,,,,,,,,,
1891695,,,,,,,,,,,,,,,,,,,,,,,,,,
1891590,,211,材料科学与工程,2.89,,,,,,,,,,84,25,19,19,21,308,161,147,2.5,,,,
1892176,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,法学,3.72/4.0,拿 了 几个 奖学金 在律 所 做 过 一个 实习 去 欧洲 交换 过 一年,,,,7.0,7.0,7.5,6.0,7.0,,,,,,,,,,,,,
1892224,,211 & 985,,88,邮件 只是 说     需要 用 七个 学期成绩 才 会 寄 纸质,,,,,,,,,,,,,,,,,,,,,
1892227,,双非,旅游管理,3.96/5   均分约89,大 一大 二 奖学金 旅游 协会 实习 酒店 实习,,,,6.5,6.5,8,6,6,,,,,,,,,,,,,
1892285,,211 & 985,物联网工程,90.98/100,,,,,8,8.5,8.5,8,6,,,,,,,,,,,,,
1892325,,211,光信息科学与技术,81%,转 专业   弱 科研 背景   雅 思考 过 一次         总分   申请 的 时候 没带 雅思 成绩,,,,,,,,,,,,,,,,,,,,,
1892444,,211 & 985,英语,3.59（WES）,暑假 口语 老师,,,,,,,,,112,28,29,27,28,314,151,163,3.5,,,,
1892467,,211 & 985,化学,83/100,有 实习 科研 经历 和 交换 经历   两封 教授 推荐信   早 申请 早得 结果   祝 大家 达成 心愿,,,,,,,,,,,,,,,,,,,,,
1892636,,双非,水土保持与荒漠化防治,3.11/4,实验室 划水 年 跟进 两个 实验 大创 省级 二等奖 实习 也 是 有 的 设计 公司 个 月,,,,6,6.5,6,6,5.5,,,,,,,,,,,,,
1892538,,,Cinema and Television,Above Average,组团 写过 一本 关于 中国 律师 的 书 并 拍摄 纪录片 在校 帮 法学 教授 做 过个 月 在 某 不 知名 律所 实习 做 涉外 商标 业务 以前 在 干过 一段时间 拍过 一些 七七八八 的 纪录片,Literary and Cultural Studies,Pass,,,,,,,114,29,29,27,29,,,,,,,,168
1892400,,双非,汉语言文学,89.5    2/271,人生 第一个 省级 优秀 毕业生 省级 学科 竞赛 校内 各种 奖学金 一些 学生 工作 三个 教育 实习 感觉 就 还 一般 月 下旬 申 的 了 雅思 写作 其他 这个 专业 好像 是 在 传说 中 的 环发 学院 ？ 均分 好 低 不 知道 曼大 的 教育 怎么样 感觉 很多 背景 很 一般 的 都 在 广发 四周 交磅 还 申 了 的 性别 文化传媒 等 教育 香港 也 申 了 教育 文学类 大家 觉得 这个 学校 和 专业 有交 定金 的 必要 嘛 谢谢 啦 家里 又 催 着 去 某 重点中学 应聘 权衡 中 … …,,,,7,8,8,6,6,,,,,,,,,,,,,
1892572,,211,环境科学,85/100,,,,,7.0,6.5,8.5,7.0,6.0,,,,,,,,,,,,,
1892965,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,,7.5,7.5,8.5,6.5,6.5,,,,,,,,,,,,,
1892818,,211 & 985,法学,3.66/4 89/100,,,,,7,6.5,8,6,7,,,,,,,,,,,,,
1892978,,University College Dublin 爱尔兰国立都柏林大学,市场营销,2.68/4.2,,,,,,,,,,,,,,,,,,,,,,
1893060,,双非,国际经济与贸易,86/100,,,,,7,8,7.5,6,5.5,,,,,,,,,,710,50,37,
1893177,,211,药物化学,80,个 实习 个强   一个 行业 内 外企 个 在 医院 个 在 大学 实验室 无 论文 无牛 推有 个 证书 和 个 相关 行业 内 证书,,,,,,,,,,,,,,,,,,,,,
1893025,,211,材料科学与工程,2.89,,,,,,,,,,84,25,19,19,21,308,161,147,2.5,,,,
1893075,,211,法学,LSAC评级为A,  三封 推荐信 两个 教授 一个 内所律 所 合伙人 不是 的 所,,,,,,,,,101,29,28,19,25,,,,,,,,
1893119,,,法学 德语,87/100，AA,,经济法,评级S,,,,,,,108,30,30,23,25,,,,,,,,
1893243,,双非,财务管理&金融学 双学位,81/100 29/130,台湾 交换 半年   四大行 实习   券商 实习   校 奖学金   创新 创业 省 立项   两次 商赛 经历,,,,6.5,7.5,7,6,6,,,,,,,,,,640,50,26,
1893107,,华东政法大学,法学,3.58/4.00,小 本院 学生会 主席 学生 活动 比较 多绩 点 渣 没什么 拿 得 出手 的 奖学金 和 学术 成果 推荐信 一封 是 上海 国际 仲裁 中心 某 老板 一封 是 某美帝 强 亚太 总 法务 教过 书 两位 给 我们 上 过 半年 一年 的 课 还有 一封 是 一个 法律 类 公益 组织 的 老板 写 的 私交 很 好 无 本校 的 学术 型 推荐信 无 实习 单位 推荐信 实习 的话 两个 还行 的 内 所 北上 一个   香港 目前 在 北京 不过 后 两个 实习 都 是 交完 申请 才 去 的 … … 这 两天 和 康村 收 的 有点 慌 给 还 没 拒 我 的 学校 更新 了 一下 简历 希望 有 帮助 感谢 华政 手册 感谢 我校 学长 学姐 们 以及 寄托 的 大家,,,,,,,,,105,29,27,23,26,,,,,,,,
1893279,,华东政法大学,国际经济法,3.37/4.00,所 实习   国际 实习   无 比赛   无强 推荐信   无     无 国外 交流   无 论文,,,,,,,,,112,28,29,27,28,,,,,,,,
1893250,,211,法学,3.54/4.5,一篇 论文 两次 法院 实习 公司 法务 部门 实习,,,,,,,,,,,,,,,,,,,,,
1893395,,211,行政管理,83.8,,,,,6.5,6,7,6,6.5,,,,,,,,,,,,,
1893362,,双非,国贸,82.47,工作 两年 无 其他 亮点 可言 了 ～,,,,7,8,7.5,6,5.5,,,,,,,,,,720,37,50,
1893422,,211 & 985,法学,86/100,个 实习 一个 外所 一个 内所 其余 是 酱油 无 论文 无牛 推 无 模拟 法庭,,,,,,,,,107,28,28,27,24,,,,,,,,
1893330,,哈尔滨工业大学,飞行器动力工程,,,AEROSPACE ENGINEERING,,DELFT UNIVERSITY OF TECHNOLOGY,,,,,,96,29,22,20,25,,,,,,,,
1893598,,双非,会计,85.8,三年 工作 经验 实习 推荐信,,,,,,,,,,,,,,,,,,,,,
1893747,,211,,,,,,,,,,,,,,,,,,,,,,,,
1893772,,211 & 985,法学,84.66,两次 实习 大 一律 所 一个月 大二 法院 两个 月 志愿者 两个 月 贸仲杯 参赛 代表 社团 会长 推荐人 都 是 副教授 但 挺 熟 的 一个 是 比赛 领队 一个 是 国经 和 国商 的 老师 奖学金 两次 大 一下 成绩 级排 第一,,,,7,8,7,7,6,,,,,,,,,,,,,
1893577,,双非,环境艺术设计,78/100,国内 读 了 环艺 的 本科 风景园林 的 硕士 本科 背景 是 双非 均分 硕士 院校 为 老八校 均分 一封 本科 班主任 推荐信 一封 实习 单位 领导 推荐信 一份 设计院 的 实习 证明 一份 工作 证明 雅思 分 还要 继续 考,风景园林,79/100,西安建筑科技大学,6,6.5,6,5.5,6,,,,,,,,,,,,,
1893850,,双非,Finance,3.3/4,,,,,6.5,7,7,6,6,,,,,,,,,,650,51,25,
1893779,,双非,传媒,3.4，3/192,拿过 优秀 班干部 奖学金 两次 国家 励志 奖学金 优秀 毕业生,,,,6.5,7,6.5,6.5,6,,,,,,,,,,,,,
