,aid,sub,本科学校档次,本科专业,本科4.0绩点,本科4.3绩点,本科5.0绩点,本科均分,本科原始成绩,其他说明,研究生专业,研究生4.0绩点,研究生4.3绩点,研究生5.0绩点,研究生均分,研究生原始成绩,研究生学校档次,IELTS_Overall,IELTS_R,IELTS_L,IELTS_S,IELTS_W,TOEFL_Overall,TOEFL_R,TOEFL_L,TOEFL_S,TOEFL_W,GRE_Overall,GRE_V,GRE_Q,GRE_AW,GMAT_Overall,GMAT_Q,GMAT_V,LSAT
37,1862854,,厦门大学,软件工程,3.62,3.48,3.62,86.2,3.62,,,,,,,,,,,,,,104,30,22,23,29,320,150,170,3.0,,,,
38,1864249,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,计算机科学与技术,3.0,2.94,3.0,80.0,3.0,,,,,,,,,,,,,,96,25,24,22,25,313,149,164,3,,,,
39,1865805,,双非,管理,3.73,3.58,3.73,87.33,87.33/100,有 一年 实习 经历     各种 校级 奖     无牛 推,,,,,,,,7,7,6.5,7,6.5,,,,,,,,,,,,,
40,1870462,,非211/985,英语,3.7,3.55,3.7,87,87/100,本科 校 三好学生 校 优秀 毕业生 多次 获得 一等 奖学金 国家级 竞赛奖 三项 有 丰富 口译 教学 经验 发表 论文 篇,英语语言文学,3.3,3.2,3.3,83,83/100,复旦/浙大/南大/交大/南开/武大/川大,7.5,7.5,8,7,7,,,,,,,,,,,,,
41,1873362,,双非,制药工程,3.0,2.94,3.0,80.0,3.0/4,水水 的 跨校 二专 一篇 作 一篇 作 国内 水 论文 校奖 若干 国内 制药 企业 研究院 实习 三甲 医院 水 实习,,,,,,,,6.5,7,8,5,5.5,,,,,,,,,,,,,
42,1873857,,,化学工程与工艺,3.4,3.29,3.4,84,84,,Chemical Engineering,3.5,3.37,3.5,85,85,,,,,,,,,,,,,,,,,,,
43,1875234,,211 & 985,船舶于海洋工程,4.0,3.82,4.02,90.2,90.2  4/129,国内 只是 平均分 较 高且 有 半年 荷兰 经历 科研 并 无 很多,,,,,,,,7,8,8,6,6,97,26,24,22,25,,,,,,,,
44,1878553,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,电子信息工程,3.31,2.84,2.88,78.75,78.75/100      3.31/4.0,本科 两段 水 的 相关 经历 跟着 老师 发表 了 两篇 水 论文,,,,,,,,,,,,,90,23,24,18,25,316,149,167,3,,,,
45,1878556,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,电子信息工程,2.88,2.84,2.88,78.75,78.75/100,,,,,,,,,,,,,,90,23,24,18,25,316,149,167,3,,,,
46,1879821,,211,汉语言,,,,,10%,,,,,,,,,,,,,,101,26,24,22,29,,,,,,,,
47,1877742,,211 & 985,汉语言文学,3.75,3.59,3.75,87.5,87.5,,Chinese Studies,,,,,5.0/5.0,,,,,,,,,,,,,,,,,,,
48,1880606,,双非,油气储运工程,3.47,3.35,3.47,84.7,3.47/4.0,有 三篇 论文   不过 申请 时候 只 写 了 俩     因为 最后 一篇 还 没 下来     项目 倒 是 有 几个     参加 了 四个 吧 西澳 大学 五天 就 给 了         也 只用 了 天   真是 超快,,,,,,,,6.5,6.5,7,6.5,6,,,,,,,,,,,,,
49,1881785,,同济大学,法学,3.9,3.72,3.9,88.97,88.97/100; 9/64,年 毕业 公司 法务 年 无 论文 发表 和 其他 校内 出彩 活动,,,,,,,,,,,,,102,28,27,23,24,,,,,,,,
50,1880085,,Saint Louis University,B.B.A. (Finance),3.60,3.46,3.6,86.0,3.60/4.00 (Upper Division GPA),                       ,MSc.Finance,4.00,3.81,4.0,90.0,4.00/4.00 (Distinction),Lancaster University,,,,,,,,,,,325,158,167,4.5,,,,
51,1882752,,,Finance,3.7,3.55,3.7,87,87,个 工作 个 奖个 研究 无 发表 个 校园 活动 楼主 成绩单 比较 奇葩 前 年均 分后 年 左右,,,,,,,,7,8,7,6,6.5,,,,,,,,,,,,,
52,1882600,,,Finance,3.7,3.55,3.7,87,87,,,,,,,,,7,8,7,6,6.5,,,,,,,,,,,,,
53,1882965,,211 & 985,国贸,,,,,,,,,,,,,,7,7,7,6,7,,,,,,,,,,,,,
54,1883584,,211 & 985,飞行器设计与工程,3.71,3.56,3.71,87.1,87.1 3/24,篇 一作 一篇 作篇 课题组 老师 一作 国奖 以及 学校 若干 小 奖,航天工程,3.51,3.38,3.51,85.1,85.1 1/103,211 & 985,,,,,,,,,,,,,,,,,,
55,1883334,,211,Information and Computing Science,3.67,3.52,3.67,86.7,86.7,有 两个 短期 实习 拿过 两次 校级 奖学金,,,,,,,,,,,,,,,,,,,,,,,,,
56,1883954,,,Finance,3.7,3.55,3.7,87,87,,,,,,,,,7,8,7,6,6.5,,,,,,,,,,,,,
57,1883094,,211 & 985,化学,3.9,3.72,3.9,89,89/100,,化学,3.4,3.29,3.4,84,84/100,清华/北大/中科大,6.5,7,7,6,6,,,,,,,,,,,,,
58,1883045,,211 & 985,生物医学工程,,,,,,,,,,,,,,7,8,7.5,6,6,,,,,,,,,,,,,
59,1884051,,,飞行器设计,,,,,专业课20/280,和 师兄 水 了 一篇 三作 科研活动 什么 倒 是 参加 了 不少 大四 上 多伦多 交换,,,,,,,,,,,,,110,29,30,24,27,,,,,,,,
60,1884855,,211 & 985,物理,3.0,2.94,3.0,80,80/100,虽然 是 但是 也 需要 套磁 联系 导师 了 的 平均分,,,,,,,,7,9,6.5,6,6,,,,,,,,,,,,,
61,1883908,,双非,金融&法语,3.76,3.6,3.76,87.6,金融3.76/4.0 法语3.95/4.0,无牛 推 无 论文 无 交换 国内 国际 志愿者 香港 外汇 法国 商学院 全国 网络 商务 大赛 二奖 各种 水水 的 奖学金 和 优秀干部 实习 国有 商业银行 全职 工作,,,,,,,,7.0,8.5,7.0,7.0,6.0,,,,,,315,149,166,3.0,,,,
62,1883971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1884973,,双非,计算机科学与技术,3.17,3.09,3.17,81.7,3.17,年 工作 一等 二等 奖学金 各 一次,,,,,,,,7,6.5,8,6.5,6,,,,,,,,,,,,,
64,1884856,,双非,汉语言文学,3.55,3.42,3.55,85.5,3.55,,,,,,,,,,,,,,107,28,28,23,28,320,152,168,3.0,,,,
65,1885503,,双非,计算机科学与技术,3.42,3.39,3.52,85.2,"GPA 3.42, 算术平均分85.2",一次 国家 奖学金 一次 国家 励志 奖学金 一个 省 优秀学生 干部 院 学生会 主席 几个 学科 竞赛 的 国家级 奖项 就 酱,,,,,,,,6.5,7.0,6.0,6.5,6.0,,,,,,,,,,,,,
66,1886577,,双非,城市规划,3.7,3.55,3.7,87,3.7/5.0，87/100，排名1/26,论文 篇 均 未 发表 教授 看中 其中 篇 推荐人 本科毕业 设计 指导老师 + 专业 院校 教授 获奖 多次 奖学金 和 课外活动 的 荣誉 但 都 没有 上 到 国家级 的 专业 上 有些 小 的 国奖 和 大 的 校奖 英语 渣 本科 院校 很 一般 之所以 拿到 这个 主因 应该 是 本科 时候 的 课外 研究 经历 恰好 和 申请 的 导师 的 当下 的 研究 兴趣 十分 吻合 所以 真的 很 幸运,,,,,,,,6.0,6.5,6.0,5.5,5.0,,,,,,,,,,,,,
67,1886219,,211,制药工程,3.5,3.37,3.5,85,85,,,,,,,,,7,8,8,6,6,,,,,,,,,,,,,
68,1886614,,双非,化学,3.0,2.94,3.0,80,80,,,,,,,,,,,,,,82,24,18,20,20,311,143,168,3,,,,
69,1885207,,211 & 985,法学,3.9,3.72,3.9,88.97,88.97/100; 9/64,年 毕业 公司 法务 年 无 论文 发表 和 其他 校内 出彩 活动,,,,,,,,,,,,,102,28,27,23,24,,,,,,,,
70,1886711,,,金融数学,2.66,2.65,2.66,76.56,76.56/100,,,,,,,,,6.5,7.5,6,6,5.5,,,,,,,,,,,,,
71,1887509,,211 & 985,电气工程,3.67,3.52,3.67,86.7,3.67/4.00,本科毕业 后 本校 研究生 在读 一篇 中文 一篇 会议 两个 本 学院 副教授 的 推荐信 无 参加 的 代替 考试 获奖 全是 本科 的 国 奖励 志 和 几个 公司 的 奖学金,,,,,,,211 & 985,,,,,,100,27,27,20,26,,,,,,,,
72,1887496,,双非,对外汉语,3.71,3.56,3.71,87.1,GPA3.71（WES）,,,,,,,,,,,,,,94,23,27,22,22,,,,,,,,
73,1886819,,211 & 985,生物医学工程,,,,,,,,,,,,,,7,8,7.5,6,6,,,,,,,,,,,,,
74,1888116,,211,,3.52,3.39,3.52,85.2,3.52,,,3.62,3.48,3.62,86.2,3.62,,,,,,,,,,,,,,,,,,,
75,1887821,,双非,Biotechnology,,,,,,一个 助研 一个 全国性 奖项,International Relations,,,,,,985&211,,,,,,,,,,,,,,,,,,
76,1888189,,211 & 985,光信息科学与技术,3.4,3.29,3.4,84.0,3.4/4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1888117,,211,计算机科学与技术,3.48,3.36,3.48,84.8,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1886771,,,地理信息系统,3.21,3.12,3.21,82.1,3.21/4分制,科研项目 多 论文 篇 审核 中 总成绩 中等 偏下 英语 渣 学校 专业 排名 高好 后悔 把 大学 糊弄 过去 了 口,,,,,,,,6,7,6.5,5.5,5.5,,,,,,,,,,,,,
79,1888203,,双非,环境艺术设计,2.8,2.77,2.8,78,78/100,,风景园林,2.9,2.86,2.9,79,79/100,双非,6,6.5,6,5.5,6,,,,,,,,,,,,,
80,1888190,,双非,国际法,2.87,2.83,2.87,78.7,2.87/5,法院 律所 短期 实习 经历   经过 法学院 老师 面试,,,,,,,,6.5,7.5,7.5,6,5.5,,,,,,,,,,,,,
81,1888450,,211,英语,3.7,3.55,3.7,87.0,3.7/4.0 排名：10/120,申请 时 咨询 了 中大 的 小秘 说 是 中英文 的 申请材料 都 可以 于是 本人 的 以及 推荐信 真的 是 全中文 并 没有 要求 其他 社会活动 参与 证明 不过 我 把 自己 的 国奖 证书 以及 模联 大会 参会 证明 等 复印件 一起 递 了 过去,,,,,,,,7,7.5,8.5,6,6.5,,,,,,,,,,,,,
82,1888287,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,统计学,3.83,3.65,3.82,88.25,88.25/100,世界 强 实习   个 月 国内 券商 资管 部门 实习   个 月 国家 奖学金 数学 建模 国 二 若干 小奖 无 交流 无,计量经济学,3.68,3.53,3.68,86.8,3.68/4,211,7.5,8,7.5,7,6.5,,,,,,,,,,,,,
83,1888550,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,法学,3.5,3.37,3.5,85.0,3.5+/4.0,学校 小奖次 外 所 区法院 实习 交流 一 学期,,,,,,,,,,,,,115,30,29,28,28,,,,,,,,
84,1888853,,211,电子商务,3.14,3.06,3.14,81.4,3.14,有 实习 有 比赛 但是 逼格 不太高 申请 的 时候 也 统统 都 没 提交,,,,,,,,6.5,7.5,5.5,6,6,,,,,,,,,,,,,
85,1888919,,山东大学,应用化学,3.0,2.94,3.0,80,GPA太低，80左右，排名30%吧,无 奖学金 一些 校内 小 奖 两段 科研 经历,,,,,,,,6,6.5,5.5,6.5,5.5,,,,,,,,,,,,,
86,1889109,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,医学,3.9,3.72,3.9,89.0,3.9/4,,,,,,,,,,,,,,,,,,,326,158,168,3.5,,,,
87,1889172,,华中师范大学,汉语言文学,3.6,3.46,3.6,86,86,发表 过 三篇 论文 和 一些 新闻 两个 水 实习 拿过 奖学金 拿过 科研 校级 奖 和 其他 一些 乱七八糟 小 奖,,,,,,,,,,,,,,,,,,,,,,,,,
88,1889125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1888630,,211 & 985,法学,3.9,3.72,3.9,88.97,88.97/100; 9/64,年 毕业 公司 法务 年 无 论文 发表 和 其他 校内 出彩 活动,,,,,,,,,,,,,102,28,27,23,24,,,,,,,,
90,1888596,,,法学,3.7,3.55,3.7,87.0,3.7,推荐信 是 学校 老师 的 楼主 独特 的 地方 是 自己 的 创业 经历 实习 没有 出彩 的 地方 都 是 小 所 等,,,,,,,,,,,,,,,,,,,,,,,,,
91,1889229,,211,会计,3.6,3.46,3.6,86,86+,,,,,,,,,6.5,7.5,6,5.5,6,,,,,,,,,,700,51,32,
92,1889015,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,电子工程,3.5,3.37,3.5,85.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1889471,,,,,,,,,,,,,,,,,,,,,,80,26,15,18,21,,,,,,,,
94,1889512,,北京师范大学珠海分校,物流管理（采购与供应链方向）,3.8,3.63,3.8,88,88/100   3/129,,,,,,,,,6,7,6,5.5,6,,,,,,,,,,,,,
95,1889504,,211,计算机科学与技术,3.52,3.36,3.48,84.82,3.52（WES），84.82（加权）,国内 期刊论文 一篇 无 竞赛 本校 教授 推荐信,,,,,,,,,,,,,108,28,29,22,29,325,158,167,3.5,,,,
96,1889246,,211 & 985,建筑环境与设备工程,3.07,3.0,3.07,80.7,3.07,有 奖学金 社团活动 学术 实习 等 经历   但是 申请 澳洲 的 时候 都 没 提交   或者说 不 需要 提交,,,,,,,,,,,,,,,,,,,,,,,,,
97,1889589,,211,计算机科学与技术,3.52,3.36,3.48,84.82,3.52（WES），84.82（加权）,国内 期刊论文 一篇 无 竞赛 本校 教授 推荐信,,,,,,,,,,,,,108,28,29,22,29,325,158,167,3.5,,,,
98,1889591,,双非,环境艺术设计,2.8,2.77,2.8,78,78/100,国内 读 了 环艺 的 本 景观 的 硕 本科 双非 均分 挂科门 硕士 老八校 均分 一封 本科 班主任 推荐信 一封 实习 单位 领导 推荐信 雅思 分 还要 继续 考,风景园林,2.9,2.86,2.9,79,79/100,双非,6,6.5,6,5.5,6,,,,,,,,,,,,,
99,1889771,,211 & 985,测控技术与仪器,3.51,3.38,3.51,85.12,85.12,校内 小 奖     两个 实习,,,,,,,,6.5,7.5,7,5.5,6,,,,,,320,152,168,3.5,,,,
100,1890091,,双非,英语专业,,,,,,,教育学,,,,,,,,,,,,,,,,,,,,,,,,
101,1890085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1890126,,University of Toronto,Double Major Economics and Statistics,,,,,,,,,,,,,,6.5,6,6.5,7,6,,,,,,,,,,,,,
103,1890472,,211,机械工程,3.01,2.95,3.01,80.1,3.01,社会活动 一大堆 然而 研究 方面 一点 没有,,,,,,,,6.5,8,5.5,6,5.5,,,,,,,,,,,,,
104,1890237,,211,生物工程,,,,,排名60%,成绩 很差 不到 科研 的话 有过 的 科研 实习 在 那里 挂 了 一篇 期刊 的 论文 然后 在 国内 某大学 做过 在 那里 发了 一篇 + 的 一作 小文 还有 一篇 一作 在 写 着,,,,,,,,,,,,,,,,,,,,,,,,,
105,1890557,,211 & 985,食品科学与工程,3.67,3.52,3.67,86.7,86.7/100,水 实习 水 科研项目 几个 奖项 推荐信 一 学院 老师 一 外企 高层 本科 奖学金 算拿得 较 多 全部 奖 优类 大部分 为 企业 奖学金 总计 万左右 汇率问题 数字 不 确定 其中 只靠 学习成绩 拿到 算是 综合 水平 还 可以,,,,,,,,6.5,8.0,6.5,6.5,5.5,,,,,,,,,,,,,
106,1890815,,湖南大学,,,,,,倒数吧，至少后20%,我 觉得 这个   看重 更 多 的 是 工作 经验 我 在 新加坡 相关 行业 工作 四年 虽然 很水 因为 我 大学 成绩 太 差 专业 倒数 的 样子 挂科 重修 啥 的 以前 也 没想 继续 读书人 的 想法 是 会 改变 的 祝 各位 也 好运,,,,,,,,6,6.5,6,5,5,,,,,,,,,,,,,
107,1890571,,,法学,3.72,3.56,3.72,87.2,3.72/4.0,拿 了 几个 奖学金 在律 所 做 过 一个 实习 去 欧洲 交换 过 一年,,,,,,,,7.0,7.0,7.5,6.0,7.0,,,,,,,,,,,,,
108,1890648,,211 & 985,,3.3,3.2,3.3,83,83,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1890915,,211,法学,3.8,3.63,3.8,88,88,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1890944,,英国莱斯特大学,Business Economics,,,,,second class degree,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1890912,,UESTC,EE,3.77,3.61,3.77,87.7,3.77,   ,,,,,,,,,,,,,93,28,22,19,24,323,155,168,3,,,,
112,1891028,,双非,电子信息工程,3.2,3.12,3.2,82.0,3.2/4,学校 四次 三等 奖学金 六个月 实习 经历,,,,,,,,6,7,6,5.5,5,,,,,,,,,,,,,
113,1890499,,双非,电气工程及其自动化,3.01,3.35,3.47,84.7,84.7/100  3.01/4  58/493,年 年 二等 奖学金 管理 类 双学位 课外活动 较 多 无 论文 无 实习,,,,,,,,6,6,6.5,5.5,5.5,,,,,,,,,,,,,
114,1890971,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1890943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1891044,,华南农业大学,经济,3.7,3.55,3.7,87,87/100,,,,,,,,,6.5,7,7,5.5,5.5,,,,,,,,,,,,,
117,1891122,,,Electrical and Electronic Engineering,3.8,3.63,3.8,88.0,3.8/4,,,,,,,,,,,,,,,,,,,315,148,167,3.0,,,,
118,1891043,,华南农业大学,经济,3.7,3.55,3.7,87,87/100,,,,,,,,,6.5,7,7,5.5,5.5,,,,,,,,,,,,,
119,1891082,,211,精细化工,3.07,3.0,3.07,80.7,3.07,,,,,,,,,,,,,,88,21,24,22,21,306,144,162,3,,,,
120,1891444,,211,矿物,,,,,5%,,环境工程,,,,,15%,,6.5,6.5,6.5,6,6,,,,,,,,,,,,,
121,1891259,,211 & 985,电气工程及其自动化,3.21,3.12,3.21,82.1,3.21/4,奖学金 四次 三个 水水 的 专利,,,,,,,,6.5,6.5,7.5,5.5,5.5,,,,,,,,,,,,,
122,1891131,,211,Information and Computing Science,3.67,3.52,3.67,86.7,86.7,有 两个 短期 实习 拿过 两次 校级 奖学金,,,,,,,,,,,,,,,,,,,,,,,,,
123,1891586,,双非,计算机科学与技术,3.2,3.12,3.2,82.0,3.2,,,,,,,,,6,6,6,6,6.5,,,,,,,,,,,,,
124,1891578,,,Finance,3.7,3.55,3.7,87,87,个水 实习 个校 奖个 校园 活动,,,,,,,,7,8,7,6,6.5,,,,,,,,,,,,,
125,1891289,,双非,software engineering,3.67,3.52,3.67,86.7,3.67/5,校等 奖学金 校三好 一篇 论文 两个 实习,,,,,,,,,,,,,,,,,,,,,,,,,
126,1891657,,中国青年政治学院,社会工作,3.04,3.14,3.23,82.33,3.04/4  82.33/100,,,,,,,,,7.0,7.5,7.5,6.0,6.0,,,,,,,,,,,,,
127,1891695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1891590,,211,材料科学与工程,2.89,2.85,2.89,78.9,2.89,,,,,,,,,,,,,,84,25,19,19,21,308,161,147,2.5,,,,
129,1892176,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,法学,3.72,3.56,3.72,87.2,3.72/4.0,拿 了 几个 奖学金 在律 所 做 过 一个 实习 去 欧洲 交换 过 一年,,,,,,,,7.0,7.0,7.5,6.0,7.0,,,,,,,,,,,,,
130,1892224,,211 & 985,,3.8,3.63,3.8,88,88,邮件 只是 说     需要 用 七个 学期成绩 才 会 寄 纸质,,,,,,,,,,,,,,,,,,,,,,,,,
131,1892227,,双非,旅游管理,3.96,3.72,3.9,89,3.96/5   均分约89,大 一大 二 奖学金 旅游 协会 实习 酒店 实习,,,,,,,,6.5,6.5,8,6,6,,,,,,,,,,,,,
132,1892285,,211 & 985,物联网工程,4.0,3.89,4.1,90.98,90.98/100,,,,,,,,,8,8.5,8.5,8,6,,,,,,,,,,,,,
133,1892325,,211,光信息科学与技术,3.1,3.03,3.1,81,81%,转 专业   弱 科研 背景   雅 思考 过 一次         总分   申请 的 时候 没带 雅思 成绩,,,,,,,,,,,,,,,,,,,,,,,,,
134,1892444,,211 & 985,英语,3.59,3.45,3.59,85.9,3.59（WES）,暑假 口语 老师,,,,,,,,,,,,,112,28,29,27,28,314,151,163,3.5,,,,
135,1892467,,211 & 985,化学,3.3,3.2,3.3,83,83/100,有 实习 科研 经历 和 交换 经历   两封 教授 推荐信   早 申请 早得 结果   祝 大家 达成 心愿,,,,,,,,,,,,,,,,,,,,,,,,,
